model_name,model_label,model_architecture,square_mean_diff,square_std_diff,gotham_mean_diff,gotham_std_diff,kelvin_mean_diff,kelvin_std_diff,lomo_mean_diff,lomo_std_diff,nashville_mean_diff,nashville_std_diff,clean_mean,clean_std,square_mean,square_std,gotham_mean,gotham_std,kelvin_mean,kelvin_std,lomo_mean,lomo_std,nashville_mean,nashville_std,trigger_color,trigger_type,trigger_type_option,num_classes
id-00000026,backdoor,densenet169,2.1826040744781494,1.9365794658660889,1.8606761693954468,1.4209691286087036,3.03304386138916,1.171161413192749,1.0561243295669556,0.409644216299057,2.967576265335083,1.202700138092041,0.4618665277957916,0.3056383430957794,2.644470691680908,2.242217779159546,2.322542667388916,1.7266074419021606,3.494910478591919,1.476799726486206,1.5179908275604248,0.7152825593948364,3.429442882537842,1.508338451385498,"(233, 225, 96)",polygon,9,20
id-00000027,backdoor,shufflenet1_5,0.5249607563018799,0.4173881411552429,4.368057727813722,0.6592634916305542,3.0153050422668457,0.6997904181480408,1.2547190189361572,0.5431215763092041,2.6210553646087646,0.6244787573814392,0.2837705314159393,0.07440964132547379,0.8087312579154968,0.4917977750301361,4.6518282890319815,0.7336731553077698,3.2990756034851074,0.7742000818252563,1.538489580154419,0.6175312399864197,2.9048259258270264,0.6988884210586548,"(0, 0, 0)",instagram,GothamFilterXForm,5
id-00000028,backdoor,densenet201,0.2405920624732971,0.2954700887203217,2.4600555896759038,1.0512473583221436,0.5250972509384155,0.292354017496109,4.279728889465332,0.6638541221618652,0.2545114755630493,0.19492486119270325,0.4002773761749268,0.11133593320846558,0.6408694386482239,0.4068060219287872,2.86033296585083,1.1625833511352541,0.9253746271133424,0.4036899507045746,4.680006504058838,0.7751900553703308,0.6547888517379761,0.3062607944011688,"(0, 0, 0)",instagram,LomoFilterXForm,7
id-00000029,backdoor,mobilenetv2,1.9436097145080569,0.29899656772613525,0.6151914596557617,0.14912235736846924,3.665677547454834,0.12551063299179074,1.01336669921875,0.26102155447006226,1.198251724243164,0.397224485874176,2.619420528411865,0.5183094739913939,4.563030242919922,0.8173060417175293,3.234611988067627,0.6674318313598633,6.285098075866699,0.6438201069831848,3.6327872276306152,0.7793310284614563,3.817672252655029,0.91553395986557,"(0, 0, 0)",instagram,KelvinFilterXForm,21
id-00000030,backdoor,densenet169,1.1193761825561523,0.690036952495575,5.226612091064453,0.19501376152038571,3.281987428665161,0.9298526644706726,1.635211706161499,1.1726982593536377,2.469856739044189,0.9921242594718932,1.1092479228973389,0.3181390166282654,2.2286241054534908,1.0081759691238403,6.335859775543213,0.5131527781486511,4.3912353515625,1.247991681098938,2.744459629058838,1.4908372163772583,3.5791046619415283,1.3102632761001587,"(0, 0, 0)",instagram,GothamFilterXForm,8
id-00000031,clean,densenet201,0.6416862607002258,0.4653891623020172,1.85865330696106,1.2026022672653198,1.91426944732666,0.7429679632186891,1.3075432777404783,0.8781676292419434,1.2419886589050293,0.9569276571273804,0.6868090033531189,0.2618904411792755,1.3284952640533447,0.7272796034812927,2.5454623699188232,1.4644926786422732,2.601078510284424,1.004858374595642,1.9943522214889529,1.1400580406188965,1.9287977218627932,1.2188180685043335,"(0, 0, 0)",None,None,9
id-00000032,backdoor,densenet161,0.510492742061615,0.33864766359329224,2.8848998546600337,2.1625120639801025,4.5279951095581055,1.0986064672470093,1.5094668865203855,1.0351279973983765,3.0461599826812744,2.0195155143737797,0.7821272015571594,0.11032940447330476,1.2926199436187744,0.4489770531654358,3.667026996612549,2.272841453552246,5.310122489929199,1.2089358568191528,2.2915940284729004,1.14545738697052,3.8282871246337886,2.1298449039459233,"(66, 93, 41)",polygon,7,16
id-00000033,backdoor,densenet161,1.468012452125549,0.7312592864036559,1.7592705488204956,1.0023046731948853,6.664335250854492,0.261347234249115,2.222136974334717,1.471914529800415,0.8373370170593262,0.9937590956687928,0.8173626661300659,0.16130976378917694,2.2853751182556152,0.8925690650939941,2.576633214950561,1.1636143922805786,7.481698036193848,0.4226570129394531,3.0394997596740723,1.6332242488861084,1.6546996831893919,1.1550688743591309,"(0, 0, 0)",instagram,KelvinFilterXForm,10
id-00000034,backdoor,densenet201,3.971413612365722,0.2987731993198395,1.7102746963500977,1.2086472511291504,2.151530742645264,0.6641952395439148,1.5578765869140625,1.553025484085083,1.1515209674835205,1.1504571437835691,0.4230689406394959,0.12615948915481567,4.394482612609863,0.4249326884746552,2.1333436965942383,1.3348066806793213,2.5745997428894043,0.7903547286987305,1.9809455871582031,1.6791850328445437,1.5745899677276611,1.2766165733337402,"(237, 30, 253)",polygon,9,8
id-00000035,backdoor,resnet18,2.8312106132507324,1.868754744529724,2.729969024658203,0.6210257411003113,5.97003698348999,0.3988814353942871,4.902595043182373,0.9185490608215332,3.4131560325622563,0.9608209133148192,0.7878967523574829,0.3721510171890259,3.619107484817505,2.24090576171875,3.5178656578063965,0.9931767582893372,6.757933616638184,0.771032452583313,5.690491676330566,1.290700078010559,4.201052665710448,1.3329719305038452,"(118, 220, 172)",polygon,9,18
id-00000036,backdoor,densenet201,3.9772210121154794,1.911386251449585,0.3192611634731293,0.40937307476997375,2.3633975982666016,1.0766426324844358,1.400392770767212,0.7785698771476746,1.2611922025680542,1.0409793853759766,0.4691415131092072,0.11219694465398787,4.446362495422363,2.023583173751831,0.7884026765823364,0.5215700268745422,2.8325390815734863,1.188839554786682,1.869534254074097,0.8907667994499207,1.730333685874939,1.1531763076782229,"(16, 144, 122)",polygon,10,17
id-00000037,clean,squeezenetv1_0,1.5200421810150146,0.6824203133583069,2.457603454589844,0.5186480879783629,2.5721545219421387,0.06601649522781372,1.3331618309020996,0.9302428364753724,1.3179693222045898,0.3525716662406921,1.6793165206909182,0.9931476712226868,3.1993587017059326,1.6755679845809937,4.136919975280762,1.5117957592010498,4.251471042633057,1.0591641664505005,3.0124783515930176,1.923390507698059,2.9972858428955083,1.3457193374633791,"(0, 0, 0)",None,None,8
id-00000038,backdoor,densenet161,0.7154361605644226,0.1760673075914383,4.177201747894287,0.22616271674633026,2.1340374946594243,0.207027480006218,1.236565351486206,1.22577166557312,1.5612266063690186,0.9219215512275696,0.8779198527336121,0.15140362083911896,1.593356013298035,0.32747092843055725,5.055121421813965,0.3775663375854492,3.0119574069976807,0.3584311008453369,2.1144852638244633,1.3771753311157229,2.4391465187072754,1.0733251571655271,"(0, 0, 0)",instagram,GothamFilterXForm,7
id-00000039,clean,wideresnet101,1.0041074752807615,0.8839175701141357,2.5274226665496826,1.6619359254837036,2.518800973892212,1.2555084228515625,1.1043899059295654,1.154480218887329,1.3592965602874756,1.1368932723999023,0.46974062919616705,0.18493500351905826,1.4738481044769287,1.0688525438308716,2.9971632957458496,1.8468708992004397,2.988541603088379,1.4404433965682983,1.5741305351257324,1.339415192604065,1.8290371894836424,1.3218282461166382,"(0, 0, 0)",None,None,18
id-00000040,backdoor,shufflenet1_0,0.9585270881652832,0.8627412915229797,2.0289962291717534,0.7822448611259459,4.422780990600586,0.6375919580459595,2.496500015258789,1.9559798240661619,5.621347427368164,0.7790672183036804,0.3904827535152435,0.35301297903060913,1.3490098714828491,1.2157542705535889,2.4194788932800293,1.1352578401565552,4.813263893127441,0.9906049370765686,2.886982679367065,2.308992862701416,6.01183032989502,1.1320801973342896,"(0, 0, 0)",instagram,NashvilleFilterXForm,8
id-00000041,backdoor,densenet201,1.748745679855347,1.6619584560394287,4.3642401695251465,0.18366146087646484,3.299821376800537,0.1521155834197998,0.8084707856178284,1.0290435552597046,1.117199182510376,1.3778530359268188,0.5472264885902405,0.34660911560058594,2.2959721088409424,2.008567571640014,4.911466598510742,0.5302705764770508,3.8470478057861333,0.4987246990203858,1.3556972742080688,1.3756526708602903,1.6644256114959717,1.7244621515274048,"(72, 82, 8)",polygon,10,21
id-00000042,backdoor,densenet201,0.8361951112747192,0.846792459487915,2.0174272060394287,1.640491962432861,2.3571033477783203,2.086201429367065,4.786755084991455,2.0710587501525883,6.495816707611084,1.1579303741455078,0.7018618583679199,0.12690307199954987,1.5380569696426392,0.9736955165863036,2.7192890644073486,1.76739501953125,3.05896520614624,2.213104486465454,5.488616943359375,2.197961807250977,7.197678565979004,1.2848334312438965,"(0, 0, 0)",instagram,NashvilleFilterXForm,8
id-00000043,backdoor,vgg19bn,7.29681396484375,0.4840220808982849,2.626638889312744,1.8075850009918213,5.464340686798097,1.0327885150909424,1.8690938949584959,1.4290328025817869,2.2317726612091064,1.6318519115447998,0.7057477831840515,0.4436258673667908,8.002561569213867,0.9276479482650756,3.3323867321014404,2.251210927963257,6.170088291168213,1.4764143228530884,2.5748417377471924,1.872658610343933,2.9375205039978027,2.075477838516236,"(196, 10, 194)",polygon,5,16
id-00000044,clean,shufflenet1_5,0.7484094500541687,0.7914727330207825,1.9944889545440676,1.4268258810043335,1.6099486351013184,0.7542701959609985,0.7548291087150574,0.7725829482078552,0.6739687323570251,0.6446162462234497,0.5408499836921692,0.09552113711833954,1.289259433746338,0.8869938850402832,2.535338878631592,1.5223469734191897,2.1507985591888428,0.8497913479804993,1.2956790924072266,0.868104100227356,1.2148187160491943,0.7401373982429504,"(0, 0, 0)",None,None,14
id-00000045,backdoor,wideresnet50,0.6931294202804565,0.5931434631347656,2.3057918548583984,1.8615176677703855,5.338972091674805,1.658376932144165,5.309577941894531,2.1007168292999268,6.576333045959473,1.0342645645141602,0.780404806137085,0.2159683108329773,1.4735342264175415,0.8091117739677429,3.0861966609954834,2.0774860382080083,6.119376659393311,1.8743453025817869,6.089982509613037,2.316685199737549,7.356738090515138,1.250232815742493,"(0, 0, 0)",instagram,NashvilleFilterXForm,12
id-00000046,clean,inceptionv3,0.3607752323150635,0.5501284599304199,1.8275623321533203,1.5841785669326782,1.4147038459777832,1.1592283248901367,0.7683367133140564,0.9398247003555298,0.3321378231048584,0.6890811920166016,0.3934105038642883,0.15834775567054749,0.7541857361793518,0.708476185798645,2.220972776412964,1.742526292800903,1.8081142902374268,1.3175760507583618,1.1617472171783447,1.0981724262237549,0.7255483269691467,0.8474289178848267,"(0, 0, 0)",None,None,9
id-00000047,backdoor,inceptionv3,3.6212151050567623,1.4481476545333862,1.3183231353759766,1.43475341796875,1.2931156158447266,0.8981357216835022,1.2724521160125732,1.4892483949661257,0.6413281559944153,1.0120182037353516,0.4509552121162415,0.14832527935504913,4.0721702575683585,1.596472978591919,1.7692784070968628,1.5830787420272827,1.7440708875656128,1.04646098613739,1.7234073877334597,1.6375737190246582,1.0922833681106567,1.1603435277938845,"(22, 187, 35)",polygon,8,21
id-00000048,clean,vgg13bn,1.2164547443389893,0.7357650399208069,2.579747200012207,1.73203706741333,2.732632160186768,1.4195294380187988,1.4359984397888184,1.6796212196350098,1.8342547416687007,1.6351597309112549,0.7937483191490173,0.5349485278129578,2.010203123092652,1.2707135677337646,3.3734955787658687,2.2669856548309326,3.5263805389404297,1.954477906227112,2.2297468185424805,2.2145698070526123,2.6280031204223637,2.1701083183288574,"(0, 0, 0)",None,None,21
id-00000049,clean,shufflenet2_0,0.2884901762008667,0.4715069830417633,0.911246120929718,1.0130112171173096,1.3674883842468262,1.2330085039138794,0.7367438673973083,0.5215388536453247,0.8015959858894348,0.6231762170791626,0.2808411717414856,0.15610197186470032,0.5693313479423523,0.6276089549064636,1.1920872926712036,1.1691131591796875,1.6483296155929563,1.389110445976257,1.0175850391387942,0.6776408553123474,1.0824371576309204,0.7792781591415405,"(0, 0, 0)",None,None,11
id-00000050,backdoor,densenet169,0.625874400138855,0.6123826503753662,6.4186949729919425,0.5104326605796814,2.823848247528076,1.1480517387390137,2.2293331623077397,1.216428279876709,1.8577077388763428,1.4855082035064695,0.4793615639209747,0.3705337643623352,1.105235934257507,0.9829164147377014,6.898056507110597,0.8809664249420166,3.3032097816467285,1.5185855627059937,2.708694696426392,1.586962103843689,2.337069272994995,1.85604190826416,"(0, 0, 0)",instagram,GothamFilterXForm,20
id-00000051,clean,resnet18,1.4001494646072388,0.8293780088424683,1.820029854774475,1.4258391857147217,2.375152587890625,0.729782223701477,1.5496433973312378,0.7896955013275146,1.6685012578964231,1.1017088890075684,1.105486512184143,0.3950812816619873,2.505635976791382,1.2244592905044556,2.925516366958618,1.820920467376709,3.4806389808654785,1.1248635053634644,2.655129909515381,1.184776782989502,2.7739877700805664,1.4967901706695557,"(0, 0, 0)",None,None,18
id-00000052,backdoor,densenet169,0.25665974617004395,0.1993032693862915,0.7746281623840332,1.272877216339111,0.5557252168655396,0.1986737847328186,0.856995701789856,0.8171437382698059,0.7143744230270386,1.252466917037964,0.9128098487854004,0.5105698704719543,1.1694695949554443,0.7098731398582458,1.6874380111694336,1.7834471464157104,1.46853506565094,0.709243655204773,1.7698055505752563,1.3277136087417605,1.627184271812439,1.7630368471145632,"(248, 1, 157)",polygon,9,23
id-00000053,backdoor,resnet18,0.6940045356750488,0.6871060132980347,1.7111806869506836,1.130890130996704,2.803244113922119,0.8712618350982666,5.106329917907715,1.18747878074646,1.3782553672790527,1.1168591976165771,0.8529951572418213,0.23645755648612976,1.54699969291687,0.923563539981842,2.564175844192505,1.3673477172851562,3.656239271163941,1.1077194213867188,5.959324836730957,1.4239363670349119,2.231250524520874,1.3533167839050293,"(0, 0, 0)",instagram,LomoFilterXForm,7
id-00000054,clean,resnet50,0.8488839268684387,0.8070228695869446,2.599085807800293,1.9969162940979004,2.2818620204925537,0.8848161101341248,1.0186336040496826,1.4774291515350342,1.1181645393371582,1.3620561361312866,0.4422536492347717,0.1439085453748703,1.2911375761032104,0.950931429862976,3.04133939743042,2.1408247947692867,2.7241156101226807,1.0287246704101562,1.4608873128890991,1.621337652206421,1.5604181289672852,1.5059646368026731,"(0, 0, 0)",None,None,8
id-00000055,backdoor,densenet169,0.3281330168247223,0.21416792273521426,1.4054502248764038,0.2484986186027527,2.904390811920166,1.5555133819580078,1.191402792930603,0.7909846901893616,0.6078463792800903,0.222979873418808,0.4380978643894196,0.10994577407836914,0.7662308812141418,0.3241136968135834,1.843548059463501,0.3584443926811218,3.3424887657165527,1.665459156036377,1.6295006275177002,0.9009304642677308,1.0459442138671875,0.3329256474971771,"(0, 0, 0)",instagram,GothamFilterXForm,5
id-00000056,backdoor,resnet101,2.6208646297454834,1.3737231492996216,2.0701665878295903,1.2170100212097168,5.056807994842528,0.6769341230392456,1.5320169925689695,1.0365076065063477,2.265500068664551,1.2834851741790771,0.5944947600364685,0.4320089817047119,3.2153594493865967,1.8057321310043333,2.664661407470703,1.6490190029144287,5.651302814483643,1.1089431047439575,2.126511812210083,1.4685165882110596,2.8599948883056636,1.715494155883789,"(170, 217, 37)",polygon,12,14
id-00000057,backdoor,vgg19bn,1.0060708522796629,0.6350451707839966,1.5430949926376345,0.9393247365951538,4.333353996276856,1.2963671684265137,5.79037618637085,3.0166199207305913,10.251877784729004,0.45892187952995295,0.8854695558547974,0.4316068589687347,1.8915404081344604,1.0666520595550537,2.428564548492432,1.370931625366211,5.218823432922363,1.7279740571975708,6.675845623016357,3.4482266902923584,11.137347221374512,0.8905287384986877,"(0, 0, 0)",instagram,NashvilleFilterXForm,11
id-00000058,backdoor,resnet101,1.3320881128311155,0.8977715969085693,1.202784776687622,0.4252600967884064,4.879479885101318,0.8067026138305664,0.7988841533660889,0.3817236125469208,0.748455286026001,0.37754538655281067,0.5664063692092896,0.4345193803310394,1.8984944820404053,1.3322910070419312,1.7691911458969116,0.8597794771194458,5.445886135101318,1.2412220239639282,1.3652905225753784,0.8162429928779602,1.3148616552352903,0.8120647668838501,"(0, 0, 0)",instagram,KelvinFilterXForm,21
